"%d Review(s)","%d Review(s)"
"Add to Cart Button","Add to Cart Button"
"Add to cart","Add to cart"
"Background Color","Background Color"
"Be the first to review this product","Be the first to review this product"
"Block After Search Results","Block After Search Results"
"Block Search More","Block Search More"
"Category Search Result Fields","Category Search Result Fields"
"Category Search Result","Category Search Result"
"Category Thumbnail Size","Category Thumbnail Size"
"CMS Pages","CMS Pages"
"CMS Search Result Fields","CMS Search Result Fields"
"Customize your popup","Customize your popup"
"Description Of Search Result","Description Of Search Result"
"Enable search terms highlighting","Enable search terms highlighting"
"Font Size","Font Size"
"Information About The Search Result","Information About The Search Result"
"Loading Animation","Loading Animation"
"More results","More results"
"Name Of Search Result","Name Of Search Result"
"Number of Results Product Search","Number of Results Product Search"
"Number of Results Suggested Search","Number of Results Suggested Search"
"Out of stock","Out of stock"
"Please save config in order to apply the changes.","Please save config in order to apply the changes."
"Price Box","Price Box"
"Product Image Size","Product Image Size"
"Product Image","Product Image"
"Product Image","Product Image"
"Product Name","Product Name"
"Product Search Result Fields","Product Search Result Fields"
"Rating Box","Rating Box"
"Reviews Rating","Reviews Rating"
"Search Delay","Search Delay"
"Search Result Header","Search Result Header"
"Search Result","Search Result"
"Search Results","Search Results"
"Short Description","Short Description"
"Show Fields In Popup","Show Fields In Popup"
"Show Popup","Show Popup"
"Show Product Results Grouped By Categories","Show Product Results Grouped By Categories"
"Suggested Search Result","Suggested Search Result"
"Suggested Search Results","Suggested Search Results"
"Suggested Searches","Suggested Searches"
"Text Of Suggested Search ","Text Of Suggested Search "
"The Block Header","The Block Header"
Autocomplete,Autocomplete
Bold,Bold
Categories,Categories
Clear,Clear
Color,Color
Description,Description
Font,Font
Italic,Italic
NProgress,NProgress
Preview,Preview
Price,Price
Products,Products
Ratings,Ratings
SKU,SKU
Spinner,Spinner
Suggested,Suggested
